,Substrate,MW_CO2,MW_mix,H2Ratio,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,CO2MassRate,CO2MolRate,H2ProductionRate,MaxH2ProductionRate,ElectrodeArea,I,Power,kWh,emol_curr,Cost_elec_h,Cost_CO2_h,Cost_electrolyzer_h,Cost_h_sep,Type_sep,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,ProductionCost_massNOCT_mixBasis,ProductionCost_mass_mixBasis,BioProduct,Formula_BP,MW_BP,Deg_RedBP,BoilP_degC,SubstratePathway,SubstratePathway,CO2_BProd_mass,CO2_Flux,H2_Flux,YieldBP_Molar,YieldBP_Mass,Bioconversion,BioproductionCost_massNOCT,CT_BIOsavings_mass,BioproductionCost_mass
0,CarbonDioxide_4,44.008,13.216800000000001,2.75,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,48.83532033129454,1109691.8817327425,3051652.674765042,3390725.19418338,36350.58323702228,181752916.1851114,363505832.3702228,363505.8323702228,1883.7362189907667,9087.64580925557,2685.9426182211996,327.60078620243576,506.25,Nanofiltration,8302.004456320072,12607.439213679205,4305.434757359133,0.00818934152700617,186.08756423846052,55.0,6.708275567356182,170.0,258.16231219845474,88.16231219845474,229.2275898397917,78.28111767305442,1-3-Butanediol-PW1,C4H10O2,90.1192,5.5,207,CO2_1:H2_4,CO2_1:H2_4,-1.9534128132517816,-10.0,-27.5,0.25,0.454688193743693,90,560.3306317190758,332.08017825280285,228.25045346627292
1,CarbonDioxide_4,44.008,13.216800000000001,2.75,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,48.83532033129454,1109691.8817327425,3051652.674765042,3390725.19418338,36350.58323702228,181752916.1851114,363505832.3702228,363505.8323702228,1883.7362189907667,9087.64580925557,2685.9426182211996,327.60078620243576,506.25,Nanofiltration,8302.004456320072,12607.439213679205,4305.434757359133,0.00818934152700617,186.08756423846052,55.0,6.708275567356182,170.0,258.16231219845474,88.16231219845474,229.2275898397917,78.28111767305442,1-3-Butanediol-PW2,C4H10O2,90.1192,5.5,207,CO2_1:H2_4,CO2_1:H2_4,-1.9534128132517816,-10.0,-27.5,0.25,0.454688193743694,90,560.3306317190758,332.08017825280285,228.25045346627292
2,CarbonDioxide_4,44.008,12.897720207253885,2.8600000000000003,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,103.21738800540497,2345423.2867979677,6707910.600242188,7453234.000269098,79903.08485528475,399515424.2764237,799030848.5528474,799030.8485528474,4140.685555705055,19975.771213821186,5676.9563402972735,720.107109366301,506.25,Nanofiltration,17546.955960918844,26879.084663484762,9332.128702565919,0.008516915188086421,193.531066807999,55.0,6.976606590050435,170.0,260.4123702692151,90.4123702692151,230.19346293291215,79.92069110514005,1-3-Diaminopropane,C3H12N2,76.13958,6.0,139.3,CO2_1:H2_4,CO2_1:H2_4,-4.128695520216199,-10.0,-28.6,0.14,0.214168460187062,90,1194.625985043767,701.8782384367538,492.74774660701326
3,CarbonDioxide_4,44.008,13.47127272727272,2.66666666666667,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,43.377942886069974,985683.1232064619,2628488.3285505683,2920542.5872784094,31309.9470869094,156549735.434547,313099470.869094,313099.470869094,1622.5236595991164,7827.486771727351,2385.7868587338485,282.17327944222603,506.25,Nanofiltration,7374.250290631896,11001.696909903425,3627.446619271529,0.00794117966255145,180.44854714032564,55.0,6.50499448955752,170.0,253.62421954399358,83.62421954399358,225.96558306616237,74.50469660068701,1-3-Propanediol,C3H8O2,76.09282,5.33333333333333,213,CO2_1:H2_4,CO2_1:H2_4,-1.735117715442799,-10.0,-26.6666666666667,0.333333333333333,0.513633982692748,90,488.9643071068189,294.97001162527584,193.99429548154308
4,CarbonDioxide_4,44.008,12.767781569965862,2.90666666666667,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,130.80889374453898,2972388.96892699,8639743.936347794,9599715.484830882,102914.63825546585,514573191.2773292,1029146382.5546584,1029146.3825546585,5333.17526935049,25728.659563866462,7194.489155949644,927.4931349627419,506.25,Nanofiltration,22237.511936571627,34356.89185477885,12119.379918207222,0.008655885832181081,196.68891638295494,55.0,7.090443993617696,170.0,262.64951006982415,92.64951006982415,231.73222192604615,81.7434489907568,1-4-Butanediol,C4H10O2,90.1192,5.5,230,CO2_1:H2_4,CO2_1:H2_4,-5.23235574978156,-10.0,-29.0666666666667,0.0933333333333333,0.168675095683404,90,1526.9729713235045,889.5004774628651,637.4724938606394
5,CarbonDioxide_4,44.008,12.517000000000001,3.0,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,125.74774058151218,2857383.6707305983,8572151.012191795,9524612.23576866,102109.48692350583,510547434.61752915,1021094869.2350583,1021094.8692350583,5291.451242093701,25527.37173087646,6916.125731983169,920.2369045016748,506.25,Nanofiltration,21377.11589885707,33869.98436736131,12492.868468504235,0.008933827120370372,203.0046155328661,55.0,7.318118800752201,170.0,269.34865159987595,99.34865159987595,236.74793200462054,87.32394862202085,1-Propanol-PW1,C3H8O,60.09382,6.0,97,CO2_1:H2_4,CO2_1:H2_4,-5.029909623260487,-10.0,-30.0,0.1456,0.174804415071723,90,1505.3326385493913,855.0846359542827,650.2480025951086
6,CarbonDioxide_4,44.008,12.517000000000001,3.0,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,75.4486443489072,1714430.2024383564,5143290.607315069,5714767.341461188,61265.69215410341,306328460.77051705,612656921.5410341,612656.9215410341,3174.8707452562157,15316.423038525854,4149.675439189896,552.142142701004,506.25,Nanofiltration,12826.269539314224,20524.490620416753,7698.221081102529,0.008933827120370372,203.0046155328661,55.0,7.318118800752201,170.0,272.0325964440477,102.03259644404773,239.10702453282838,89.68304115022873,1-Propanol-PW2,C3H8O,60.09382,6.0,97,CO2_1:H2_4,CO2_1:H2_4,-3.017945773956288,-10.0,-30.0,0.242666666666667,0.291340691786204,90,912.1995831296334,513.050781572569,399.1488015570644
7,CarbonDioxide_4,44.008,13.216800000000001,2.75,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,48.83532033129454,1109691.8817327425,3051652.674765042,3390725.19418338,36350.58323702228,181752916.1851114,363505832.3702228,363505.8323702228,1883.7362189907667,9087.64580925557,2685.9426182211996,327.60078620243576,506.25,Nanofiltration,8302.004456320072,12607.439213679205,4305.434757359133,0.00818934152700617,186.08756423846052,55.0,6.708275567356182,170.0,258.16231219845474,88.16231219845474,229.2275898397917,78.28111767305442,2-3-Butanediol,C4H10O2,90.1192,5.5,177,CO2_1:H2_4,CO2_1:H2_4,-1.9534128132517816,-10.0,-27.5,0.25,0.454688193743693,90,560.3306317190758,332.08017825280285,228.25045346627292
8,CarbonDioxide_4,44.008,12.517000000000001,3.0,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,85.728363912838,1948017.7220695785,5844053.166208736,6493392.406898595,69613.01422554924,348065071.1277462,696130142.2554924,696130.1422554924,3607.4402260547754,17403.25355638731,4715.060015206091,627.3703517082664,506.25,Nanofiltration,14573.82186518246,23251.933923301665,8678.112058119204,0.00893382712037037,203.00461553286607,55.0,7.318118800752201,170.0,271.2280144170538,101.22801441705383,238.39982540676087,88.97584202416124,2-Methyl-1-Butanol,C5H12O,88.14658,6.0,129,CO2_1:H2_4,CO2_1:H2_4,-3.4291345565135205,-10.0,-30.0,0.1456,0.256405922563631,90,1033.419285480074,582.9528746072984,450.46641087277555
9,CarbonDioxide_4,44.008,12.517000000000001,3.0,2,Ideal-Best,2,500,90,0.025,55,170,60,1500,20,0.95,1,106.50169483778701,2420053.054848823,7260159.164546469,8066843.516162744,86481.34245657432,432406712.2828716,864813424.5657432,864813.4245657432,4481.579731201525,21620.33561414358,5857.593216078286,779.3920553043829,506.25,Nanofiltration,18105.288122423794,28763.57088552625,10658.282763102456,0.00893382712037037,203.00461553286607,55.0,7.318118800752202,170.0,270.0761798141909,100.07617981419088,237.3874035564215,87.96342017382183,3-Methyl-1-Pentanol,C6H14O,102.17296,6.0,153,CO2_1:H2_4,CO2_1:H2_4,-4.260067793511481,-10.0,-30.0,0.101111111111111,0.20639352521499,90,1278.3809282456111,724.2115248969517,554.1694033486594
